gene	length	species	median	quant
13_distribution_divergence/01_input_alignments/OG0000621_disco_tree2_aligned_trim.faa	128	26	0.0332525942326496	0
13_distribution_divergence/01_input_alignments/OG0006816_disco_tree1_aligned_trim.faa	119	34	0.0345708748399925	0
13_distribution_divergence/01_input_alignments/OG0009180_disco_tree1_aligned_trim.faa	172	33	0.0352946025314571	0
13_distribution_divergence/01_input_alignments/OG0010180_disco_tree1_aligned_trim.faa	79	29	0.0383916671279775	0
13_distribution_divergence/01_input_alignments/OG0006089_disco_tree1_aligned_trim.faa	433	21	0.0390382124340536	0
13_distribution_divergence/01_input_alignments/OG0008663_disco_tree1_aligned_trim.faa	441	30	0.0403677356592686	0
13_distribution_divergence/01_input_alignments/OG0004747_disco_tree1_aligned_trim.faa	118	26	0.0405791275349385	0
13_distribution_divergence/01_input_alignments/OG0001117_disco_tree2_aligned_trim.faa	307	30	0.041142317678226	0
13_distribution_divergence/01_input_alignments/OG0006490_disco_tree1_aligned_trim.faa	341	32	0.0414961553292482	0
13_distribution_divergence/01_input_alignments/OG0007418_disco_tree1_aligned_trim.faa	404	18	0.0417257866123922	0
13_distribution_divergence/01_input_alignments/OG0001117_disco_tree1_aligned_trim.faa	312	29	0.0423008208999592	0
13_distribution_divergence/01_input_alignments/OG0010609_disco_tree1_aligned_trim.faa	68	21	0.0424690217097585	0
13_distribution_divergence/01_input_alignments/OG0000243_disco_tree4_aligned_trim.faa	192	25	0.0440677321018324	0
13_distribution_divergence/01_input_alignments/OG0008627_disco_tree1_aligned_trim.faa	418	32	0.0455223099580715	0
13_distribution_divergence/01_input_alignments/OG0000676_disco_tree3_aligned_trim.faa	136	21	0.0459328369799718	0
13_distribution_divergence/01_input_alignments/OG0005037_disco_tree1_aligned_trim.faa	311	31	0.0463759186487074	0
13_distribution_divergence/01_input_alignments/OG0006921_disco_tree1_aligned_trim.faa	151	26	0.0480375655344879	0
13_distribution_divergence/01_input_alignments/OG0001278_disco_tree2_aligned_trim.faa	399	29	0.0527198365396713	0
13_distribution_divergence/01_input_alignments/OG0009539_disco_tree1_aligned_trim.faa	348	34	0.0528863825230266	0
13_distribution_divergence/01_input_alignments/OG0006432_disco_tree1_aligned_trim.faa	216	25	0.0538126522550784	0
13_distribution_divergence/01_input_alignments/OG0006869_disco_tree1_aligned_trim.faa	374	23	0.0541734290968262	0
13_distribution_divergence/01_input_alignments/OG0008117_disco_tree1_aligned_trim.faa	464	31	0.056251374826475	0
13_distribution_divergence/01_input_alignments/OG0004785_disco_tree1_aligned_trim.faa	170	31	0.0565402993387298	0
13_distribution_divergence/01_input_alignments/OG0008576_disco_tree1_aligned_trim.faa	148	33	0.0566306696200738	0
13_distribution_divergence/01_input_alignments/OG0009402_disco_tree1_aligned_trim.faa	162	32	0.0569232732217778	0
13_distribution_divergence/01_input_alignments/OG0009494_disco_tree1_aligned_trim.faa	185	33	0.057099154895054	0
13_distribution_divergence/01_input_alignments/OG0001451_disco_tree1_aligned_trim.faa	355	29	0.0572891607098013	0
13_distribution_divergence/01_input_alignments/OG0011873_disco_tree1_aligned_trim.faa	90	25	0.0574294323764747	0
13_distribution_divergence/01_input_alignments/OG0008729_disco_tree1_aligned_trim.faa	394	31	0.0586714844999148	0
13_distribution_divergence/01_input_alignments/OG0009681_disco_tree1_aligned_trim.faa	140	21	0.0588787795409233	0
13_distribution_divergence/01_input_alignments/OG0008222_disco_tree1_aligned_trim.faa	103	32	0.0590010163215902	0
13_distribution_divergence/01_input_alignments/OG0009222_disco_tree1_aligned_trim.faa	90	31	0.0595020914766928	0
13_distribution_divergence/01_input_alignments/OG0008630_disco_tree1_aligned_trim.faa	164	28	0.0595488929561636	0
13_distribution_divergence/01_input_alignments/OG0000676_disco_tree1_aligned_trim.faa	126	24	0.0597595779778774	0
13_distribution_divergence/01_input_alignments/OG0005013_disco_tree1_aligned_trim.faa	206	30	0.0602802961210748	0
13_distribution_divergence/01_input_alignments/OG0010223_disco_tree1_aligned_trim.faa	87	29	0.0604964756799682	0
13_distribution_divergence/01_input_alignments/OG0011831_disco_tree1_aligned_trim.faa	83	21	0.0611993384588976	0
13_distribution_divergence/01_input_alignments/OG0008769_disco_tree1_aligned_trim.faa	171	33	0.0626233601737599	0
13_distribution_divergence/01_input_alignments/OG0007127_disco_tree1_aligned_trim.faa	476	27	0.0628316354103279	0
13_distribution_divergence/01_input_alignments/OG0012222_disco_tree1_aligned_trim.faa	84	26	0.0629717776061371	0
13_distribution_divergence/01_input_alignments/OG0004981_disco_tree1_aligned_trim.faa	444	30	0.0634769265136469	0
13_distribution_divergence/01_input_alignments/OG0007152_disco_tree1_aligned_trim.faa	181	34	0.0635794028242964	0
13_distribution_divergence/01_input_alignments/OG0006863_disco_tree1_aligned_trim.faa	319	27	0.064536896259809	0
13_distribution_divergence/01_input_alignments/OG0010546_disco_tree1_aligned_trim.faa	142	31	0.0648537176779774	0
13_distribution_divergence/01_input_alignments/OG0001192_disco_tree1_aligned_trim.faa	216	27	0.0651785440581667	0
13_distribution_divergence/01_input_alignments/OG0002889_disco_tree1_aligned_trim.faa	427	27	0.0652354592027306	0
13_distribution_divergence/01_input_alignments/OG0008508_disco_tree1_aligned_trim.faa	2362	29	0.0657277421419194	0
13_distribution_divergence/01_input_alignments/OG0009396_disco_tree1_aligned_trim.faa	428	32	0.0674095613402497	0
13_distribution_divergence/01_input_alignments/OG0000243_disco_tree2_aligned_trim.faa	191	29	0.0678512280841137	0
13_distribution_divergence/01_input_alignments/OG0004437_disco_tree1_aligned_trim.faa	142	33	0.067902775103219	0
13_distribution_divergence/01_input_alignments/OG0000114_disco_tree4_aligned_trim.faa	589	29	0.0688134559708202	0
13_distribution_divergence/01_input_alignments/OG0001075_disco_tree3_aligned_trim.faa	327	33	0.0693066128714585	0
13_distribution_divergence/01_input_alignments/OG0007769_disco_tree1_aligned_trim.faa	144	32	0.0696370773572071	0
13_distribution_divergence/01_input_alignments/OG0012203_disco_tree1_aligned_trim.faa	61	18	0.0698868675015866	0
13_distribution_divergence/01_input_alignments/OG0007965_disco_tree1_aligned_trim.faa	118	32	0.0709938623884279	0
13_distribution_divergence/01_input_alignments/OG0007276_disco_tree1_aligned_trim.faa	213	33	0.0720570208851953	0
13_distribution_divergence/01_input_alignments/OG0003308_disco_tree1_aligned_trim.faa	279	18	0.0754831679582529	0
13_distribution_divergence/01_input_alignments/OG0010212_disco_tree1_aligned_trim.faa	90	25	0.0766775805167476	0
13_distribution_divergence/01_input_alignments/OG0011122_disco_tree1_aligned_trim.faa	133	30	0.0771355249254369	0
13_distribution_divergence/01_input_alignments/OG0000225_disco_tree4_aligned_trim.faa	175	20	0.0775533119661139	0
13_distribution_divergence/01_input_alignments/OG0006514_disco_tree1_aligned_trim.faa	458	27	0.0786023218157395	0
13_distribution_divergence/01_input_alignments/OG0008460_disco_tree1_aligned_trim.faa	442	32	0.0796121320638116	0
13_distribution_divergence/01_input_alignments/OG0007195_disco_tree1_aligned_trim.faa	182	25	0.0800933615236832	0
13_distribution_divergence/01_input_alignments/OG0008584_disco_tree1_aligned_trim.faa	257	34	0.0816842591796709	0
13_distribution_divergence/01_input_alignments/OG0001867_disco_tree1_aligned_trim.faa	802	25	0.0822212629760877	0
13_distribution_divergence/01_input_alignments/OG0000620_disco_tree4_aligned_trim.faa	202	24	0.0824084531333989	0
13_distribution_divergence/01_input_alignments/OG0000243_disco_tree5_aligned_trim.faa	199	27	0.0830654568163464	0
13_distribution_divergence/01_input_alignments/OG0001509_disco_tree2_aligned_trim.faa	183	31	0.0831948014206503	0
13_distribution_divergence/01_input_alignments/OG0009972_disco_tree1_aligned_trim.faa	456	33	0.083251546685689	0
13_distribution_divergence/01_input_alignments/OG0005168_disco_tree1_aligned_trim.faa	151	31	0.0834131610885685	0
13_distribution_divergence/01_input_alignments/OG0003586_disco_tree1_aligned_trim.faa	205	22	0.0847838688397759	0
13_distribution_divergence/01_input_alignments/OG0006875_disco_tree1_aligned_trim.faa	198	22	0.0854657236331593	0
13_distribution_divergence/01_input_alignments/OG0005612_disco_tree1_aligned_trim.faa	102	29	0.0866819858191915	0
13_distribution_divergence/01_input_alignments/OG0005511_disco_tree1_aligned_trim.faa	473	21	0.0874452299722494	0
13_distribution_divergence/01_input_alignments/OG0000081_disco_tree4_aligned_trim.faa	376	32	0.0891930779663894	0
13_distribution_divergence/01_input_alignments/OG0010002_disco_tree1_aligned_trim.faa	163	21	0.08989591558267	0
13_distribution_divergence/01_input_alignments/OG0009010_disco_tree1_aligned_trim.faa	551	32	0.0899041650059662	0
13_distribution_divergence/01_input_alignments/OG0006236_disco_tree1_aligned_trim.faa	318	17	0.0900852309565804	0
13_distribution_divergence/01_input_alignments/OG0009543_disco_tree1_aligned_trim.faa	235	33	0.0910218536810094	0
13_distribution_divergence/01_input_alignments/OG0005020_disco_tree1_aligned_trim.faa	209	32	0.0923184920642651	0
13_distribution_divergence/01_input_alignments/OG0010031_disco_tree1_aligned_trim.faa	523	26	0.0925448009012612	0
13_distribution_divergence/01_input_alignments/OG0003501_disco_tree1_aligned_trim.faa	193	32	0.0928319600653952	0
13_distribution_divergence/01_input_alignments/OG0003611_disco_tree1_aligned_trim.faa	1684	20	0.0931155306702436	0
13_distribution_divergence/01_input_alignments/OG0005059_disco_tree1_aligned_trim.faa	446	31	0.0944663706134204	0
13_distribution_divergence/01_input_alignments/OG0008792_disco_tree1_aligned_trim.faa	149	18	0.0945616986240122	0
13_distribution_divergence/01_input_alignments/OG0005726_disco_tree1_aligned_trim.faa	1336	24	0.0947194327573275	0
13_distribution_divergence/01_input_alignments/OG0008285_disco_tree1_aligned_trim.faa	182	32	0.0951775340023499	0
13_distribution_divergence/01_input_alignments/OG0008045_disco_tree1_aligned_trim.faa	130	29	0.0954629538346059	0
13_distribution_divergence/01_input_alignments/OG0002695_disco_tree2_aligned_trim.faa	165	32	0.0958703659486593	0
13_distribution_divergence/01_input_alignments/OG0004584_disco_tree1_aligned_trim.faa	353	31	0.0961410798055599	0
13_distribution_divergence/01_input_alignments/OG0002214_disco_tree1_aligned_trim.faa	340	29	0.0961551690621376	0
13_distribution_divergence/01_input_alignments/OG0000266_disco_tree2_aligned_trim.faa	453	23	0.0966566911979857	0
13_distribution_divergence/01_input_alignments/OG0009097_disco_tree1_aligned_trim.faa	210	32	0.0967833036168377	0
13_distribution_divergence/01_input_alignments/OG0009017_disco_tree1_aligned_trim.faa	114	23	0.0968762719308464	0
13_distribution_divergence/01_input_alignments/OG0001085_disco_tree3_aligned_trim.faa	214	34	0.0971969021352494	0
13_distribution_divergence/01_input_alignments/OG0008974_disco_tree1_aligned_trim.faa	368	30	0.0975717981279142	0
13_distribution_divergence/01_input_alignments/OG0010852_disco_tree1_aligned_trim.faa	103	32	0.0979990286780461	0
13_distribution_divergence/01_input_alignments/OG0002213_disco_tree2_aligned_trim.faa	193	29	0.0982414740246797	0
13_distribution_divergence/01_input_alignments/OG0008682_disco_tree1_aligned_trim.faa	260	32	0.0984298535267619	0
13_distribution_divergence/01_input_alignments/OG0009498_disco_tree1_aligned_trim.faa	241	34	0.0986676615789563	0
13_distribution_divergence/01_input_alignments/OG0009125_disco_tree1_aligned_trim.faa	421	33	0.0997411355186555	0
13_distribution_divergence/01_input_alignments/OG0006845_disco_tree1_aligned_trim.faa	115	20	0.100198109899029	0
13_distribution_divergence/01_input_alignments/OG0007740_disco_tree1_aligned_trim.faa	288	31	0.10072690764666	0
13_distribution_divergence/01_input_alignments/OG0005016_disco_tree1_aligned_trim.faa	386	17	0.100853440273754	0
13_distribution_divergence/01_input_alignments/OG0006488_disco_tree1_aligned_trim.faa	1111	25	0.101297535566255	0
13_distribution_divergence/01_input_alignments/OG0010612_disco_tree1_aligned_trim.faa	132	33	0.101724849717029	0
13_distribution_divergence/01_input_alignments/OG0008187_disco_tree1_aligned_trim.faa	185	33	0.102994443654271	0
13_distribution_divergence/01_input_alignments/OG0009179_disco_tree1_aligned_trim.faa	513	33	0.103357873432912	0
13_distribution_divergence/01_input_alignments/OG0009124_disco_tree1_aligned_trim.faa	422	29	0.103702591472172	0
13_distribution_divergence/01_input_alignments/OG0010617_disco_tree1_aligned_trim.faa	337	33	0.103834258248461	0
13_distribution_divergence/01_input_alignments/OG0009223_disco_tree1_aligned_trim.faa	130	33	0.105251754759515	0
13_distribution_divergence/01_input_alignments/OG0007094_disco_tree1_aligned_trim.faa	647	34	0.105451706957728	0
13_distribution_divergence/01_input_alignments/OG0000670_disco_tree3_aligned_trim.faa	147	23	0.105693603626262	0
13_distribution_divergence/01_input_alignments/OG0001708_disco_tree2_aligned_trim.faa	464	21	0.10680295821057	0
13_distribution_divergence/01_input_alignments/OG0009209_disco_tree1_aligned_trim.faa	108	32	0.106867749902304	0
13_distribution_divergence/01_input_alignments/OG0007354_disco_tree1_aligned_trim.faa	202	23	0.10695020898558	0
13_distribution_divergence/01_input_alignments/OG0009456_disco_tree1_aligned_trim.faa	308	30	0.107051529440932	0
13_distribution_divergence/01_input_alignments/OG0000767_disco_tree3_aligned_trim.faa	302	32	0.107141975039383	0
13_distribution_divergence/01_input_alignments/OG0008969_disco_tree1_aligned_trim.faa	158	34	0.107213447956683	0
13_distribution_divergence/01_input_alignments/OG0000441_disco_tree6_aligned_trim.faa	191	31	0.107289816370921	0
13_distribution_divergence/01_input_alignments/OG0007479_disco_tree1_aligned_trim.faa	486	33	0.107378355989666	0
13_distribution_divergence/01_input_alignments/OG0005224_disco_tree1_aligned_trim.faa	1077	29	0.107462620051562	0
13_distribution_divergence/01_input_alignments/OG0009221_disco_tree1_aligned_trim.faa	142	27	0.108029714539343	0
13_distribution_divergence/01_input_alignments/OG0008219_disco_tree1_aligned_trim.faa	507	33	0.108036898278928	0
13_distribution_divergence/01_input_alignments/OG0001117_disco_tree3_aligned_trim.faa	303	21	0.108209677302383	0
13_distribution_divergence/01_input_alignments/OG0006539_disco_tree1_aligned_trim.faa	350	28	0.108315520985736	0
13_distribution_divergence/01_input_alignments/OG0009217_disco_tree1_aligned_trim.faa	120	34	0.108345253164583	0
13_distribution_divergence/01_input_alignments/OG0005615_disco_tree1_aligned_trim.faa	622	32	0.10848639158132	0
13_distribution_divergence/01_input_alignments/OG0001887_disco_tree2_aligned_trim.faa	171	34	0.108771986804187	0
13_distribution_divergence/01_input_alignments/OG0004288_disco_tree1_aligned_trim.faa	143	28	0.109073114076037	0
13_distribution_divergence/01_input_alignments/OG0006952_disco_tree1_aligned_trim.faa	777	28	0.109687539990474	0
13_distribution_divergence/01_input_alignments/OG0003280_disco_tree1_aligned_trim.faa	506	29	0.110263638524958	0
13_distribution_divergence/01_input_alignments/OG0009233_disco_tree1_aligned_trim.faa	249	33	0.110900638486337	0
13_distribution_divergence/01_input_alignments/OG0005004_disco_tree1_aligned_trim.faa	161	25	0.110963723054548	0
13_distribution_divergence/01_input_alignments/OG0004442_disco_tree1_aligned_trim.faa	442	21	0.111082733735036	0
13_distribution_divergence/01_input_alignments/OG0002511_disco_tree1_aligned_trim.faa	184	28	0.112552775143188	0
13_distribution_divergence/01_input_alignments/OG0009194_disco_tree1_aligned_trim.faa	353	30	0.113465226000929	0
13_distribution_divergence/01_input_alignments/OG0009684_disco_tree1_aligned_trim.faa	127	32	0.113625266343794	0
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree12_aligned_trim.faa	158	23	0.114087147219359	0
13_distribution_divergence/01_input_alignments/OG0005663_disco_tree1_aligned_trim.faa	92	27	0.114489760281832	0
13_distribution_divergence/01_input_alignments/OG0000225_disco_tree3_aligned_trim.faa	181	19	0.115439993193072	0
13_distribution_divergence/01_input_alignments/OG0006497_disco_tree1_aligned_trim.faa	560	33	0.115501096715007	0
13_distribution_divergence/01_input_alignments/OG0008775_disco_tree1_aligned_trim.faa	127	33	0.115606426855874	0
13_distribution_divergence/01_input_alignments/OG0007412_disco_tree1_aligned_trim.faa	784	34	0.116033851760148	0
13_distribution_divergence/01_input_alignments/OG0004493_disco_tree2_aligned_trim.faa	487	18	0.116340665014038	0
13_distribution_divergence/01_input_alignments/OG0000767_disco_tree1_aligned_trim.faa	300	21	0.116954390924361	0
13_distribution_divergence/01_input_alignments/OG0006440_disco_tree1_aligned_trim.faa	492	26	0.116985734008597	0
13_distribution_divergence/01_input_alignments/OG0009875_disco_tree1_aligned_trim.faa	415	31	0.117911364670024	0
13_distribution_divergence/01_input_alignments/OG0004065_disco_tree1_aligned_trim.faa	609	28	0.118379994948711	0
13_distribution_divergence/01_input_alignments/OG0012043_disco_tree1_aligned_trim.faa	86	19	0.11933675629924	0
13_distribution_divergence/01_input_alignments/OG0011758_disco_tree1_aligned_trim.faa	85	25	0.119993161376061	0
13_distribution_divergence/01_input_alignments/OG0007325_disco_tree1_aligned_trim.faa	510	33	0.120243939292932	0
13_distribution_divergence/01_input_alignments/OG0009941_disco_tree1_aligned_trim.faa	107	34	0.120630658907998	0
13_distribution_divergence/01_input_alignments/OG0010800_disco_tree1_aligned_trim.faa	227	28	0.120731323517766	0
13_distribution_divergence/01_input_alignments/OG0001703_disco_tree1_aligned_trim.faa	179	32	0.120770802159308	0
13_distribution_divergence/01_input_alignments/OG0005704_disco_tree1_aligned_trim.faa	337	23	0.121537541191604	0
13_distribution_divergence/01_input_alignments/OG0006243_disco_tree1_aligned_trim.faa	731	26	0.122061403062205	0
13_distribution_divergence/01_input_alignments/OG0010233_disco_tree1_aligned_trim.faa	160	32	0.122067532471071	0
13_distribution_divergence/01_input_alignments/OG0005653_disco_tree1_aligned_trim.faa	108	18	0.123370507045893	0
13_distribution_divergence/01_input_alignments/OG0004438_disco_tree1_aligned_trim.faa	1013	22	0.123815066998459	0
13_distribution_divergence/01_input_alignments/OG0008705_disco_tree1_aligned_trim.faa	197	30	0.124174527974112	0
13_distribution_divergence/01_input_alignments/OG0009541_disco_tree1_aligned_trim.faa	344	30	0.124256269126239	0
13_distribution_divergence/01_input_alignments/OG0003832_disco_tree1_aligned_trim.faa	890	30	0.124442423933664	0
13_distribution_divergence/01_input_alignments/OG0008091_disco_tree1_aligned_trim.faa	179	23	0.124706074169103	0
13_distribution_divergence/01_input_alignments/OG0010447_disco_tree1_aligned_trim.faa	487	32	0.125629377958626	0
13_distribution_divergence/01_input_alignments/OG0009550_disco_tree1_aligned_trim.faa	256	31	0.126301214891079	0
13_distribution_divergence/01_input_alignments/OG0010337_disco_tree1_aligned_trim.faa	182	33	0.12660602809441	0
13_distribution_divergence/01_input_alignments/OG0000244_disco_tree1_aligned_trim.faa	661	29	0.126984983175146	0
13_distribution_divergence/01_input_alignments/OG0010047_disco_tree1_aligned_trim.faa	170	32	0.127132464944405	0
13_distribution_divergence/01_input_alignments/OG0001718_disco_tree1_aligned_trim.faa	375	33	0.127433035848843	0
13_distribution_divergence/01_input_alignments/OG0007240_disco_tree1_aligned_trim.faa	315	33	0.127504874573959	0
13_distribution_divergence/01_input_alignments/OG0010444_disco_tree1_aligned_trim.faa	625	34	0.12777085953058	0
13_distribution_divergence/01_input_alignments/OG0005617_disco_tree1_aligned_trim.faa	146	17	0.128069788069263	0
13_distribution_divergence/01_input_alignments/OG0002346_disco_tree2_aligned_trim.faa	118	32	0.129020074683379	0
13_distribution_divergence/01_input_alignments/OG0006995_disco_tree1_aligned_trim.faa	236	26	0.129220905243549	0
13_distribution_divergence/01_input_alignments/OG0006160_disco_tree1_aligned_trim.faa	159	20	0.129315934228931	0
13_distribution_divergence/01_input_alignments/OG0001075_disco_tree1_aligned_trim.faa	325	21	0.129476532697083	0
13_distribution_divergence/01_input_alignments/OG0009121_disco_tree1_aligned_trim.faa	246	34	0.129480694792066	0
13_distribution_divergence/01_input_alignments/OG0002266_disco_tree2_aligned_trim.faa	710	33	0.129507162846358	0
13_distribution_divergence/01_input_alignments/OG0009837_disco_tree1_aligned_trim.faa	532	28	0.130078877271411	0
13_distribution_divergence/01_input_alignments/OG0006004_disco_tree1_aligned_trim.faa	171	33	0.130406746442271	0
13_distribution_divergence/01_input_alignments/OG0005993_disco_tree1_aligned_trim.faa	449	31	0.130408999100223	0
13_distribution_divergence/01_input_alignments/OG0012336_disco_tree1_aligned_trim.faa	74	18	0.130538211890306	0
13_distribution_divergence/01_input_alignments/OG0003309_disco_tree1_aligned_trim.faa	877	17	0.130790137383312	0
13_distribution_divergence/01_input_alignments/OG0005073_disco_tree1_aligned_trim.faa	196	18	0.131527388088925	0
13_distribution_divergence/01_input_alignments/OG0004805_disco_tree1_aligned_trim.faa	192	20	0.132339041703677	0
13_distribution_divergence/01_input_alignments/OG0005506_disco_tree1_aligned_trim.faa	115	34	0.132995166393817	0
13_distribution_divergence/01_input_alignments/OG0003888_disco_tree1_aligned_trim.faa	706	24	0.133048492541357	0
13_distribution_divergence/01_input_alignments/OG0004947_disco_tree1_aligned_trim.faa	479	17	0.133320489070326	0
13_distribution_divergence/01_input_alignments/OG0006720_disco_tree1_aligned_trim.faa	343	30	0.133371586531393	0
13_distribution_divergence/01_input_alignments/OG0002214_disco_tree2_aligned_trim.faa	343	27	0.135584196899293	0
13_distribution_divergence/01_input_alignments/OG0002080_disco_tree1_aligned_trim.faa	221	31	0.135782532742438	0
13_distribution_divergence/01_input_alignments/OG0007625_disco_tree1_aligned_trim.faa	117	33	0.135841017615377	0
13_distribution_divergence/01_input_alignments/OG0006787_disco_tree1_aligned_trim.faa	180	33	0.136114099166792	0
13_distribution_divergence/01_input_alignments/OG0007897_disco_tree1_aligned_trim.faa	173	31	0.136577180595108	0
13_distribution_divergence/01_input_alignments/OG0004766_disco_tree1_aligned_trim.faa	376	21	0.136808584807509	0
13_distribution_divergence/01_input_alignments/OG0002344_disco_tree1_aligned_trim.faa	837	17	0.137137392054367	0
13_distribution_divergence/01_input_alignments/OG0007111_disco_tree1_aligned_trim.faa	459	33	0.137149809223518	0
13_distribution_divergence/01_input_alignments/OG0010038_disco_tree1_aligned_trim.faa	147	34	0.137406062275818	0
13_distribution_divergence/01_input_alignments/OG0006843_disco_tree1_aligned_trim.faa	321	31	0.137480933901485	0
13_distribution_divergence/01_input_alignments/OG0005851_disco_tree1_aligned_trim.faa	219	18	0.137685230740309	0
13_distribution_divergence/01_input_alignments/OG0004366_disco_tree2_aligned_trim.faa	1235	18	0.137877202336115	0
13_distribution_divergence/01_input_alignments/OG0007112_disco_tree1_aligned_trim.faa	889	26	0.138455770711543	0
13_distribution_divergence/01_input_alignments/OG0008202_disco_tree1_aligned_trim.faa	245	34	0.138538665059413	0
13_distribution_divergence/01_input_alignments/OG0006622_disco_tree1_aligned_trim.faa	278	32	0.139337195964093	0
13_distribution_divergence/01_input_alignments/OG0009132_disco_tree1_aligned_trim.faa	422	33	0.139742161670008	0
13_distribution_divergence/01_input_alignments/OG0009625_disco_tree1_aligned_trim.faa	169	32	0.139808825011869	0
13_distribution_divergence/01_input_alignments/OG0009420_disco_tree1_aligned_trim.faa	187	32	0.13987851008433	0
13_distribution_divergence/01_input_alignments/OG0005280_disco_tree1_aligned_trim.faa	723	20	0.140292644447106	0
13_distribution_divergence/01_input_alignments/OG0008810_disco_tree1_aligned_trim.faa	205	34	0.141236606776758	0
13_distribution_divergence/01_input_alignments/OG0007923_disco_tree1_aligned_trim.faa	152	29	0.141265534567777	0
13_distribution_divergence/01_input_alignments/OG0002242_disco_tree2_aligned_trim.faa	366	32	0.141902975319059	0
13_distribution_divergence/01_input_alignments/OG0009547_disco_tree1_aligned_trim.faa	105	33	0.142075766310628	0
13_distribution_divergence/01_input_alignments/OG0009663_disco_tree1_aligned_trim.faa	507	33	0.142395519954207	0
13_distribution_divergence/01_input_alignments/OG0007445_disco_tree1_aligned_trim.faa	763	30	0.142421714007433	0
13_distribution_divergence/01_input_alignments/OG0007347_disco_tree1_aligned_trim.faa	306	24	0.142568042895909	0
13_distribution_divergence/01_input_alignments/OG0001580_disco_tree1_aligned_trim.faa	2829	18	0.143250187162612	0
13_distribution_divergence/01_input_alignments/OG0006974_disco_tree1_aligned_trim.faa	129	23	0.143331034328216	0
13_distribution_divergence/01_input_alignments/OG0004700_disco_tree1_aligned_trim.faa	1190	27	0.14351162478592	0
13_distribution_divergence/01_input_alignments/OG0007491_disco_tree1_aligned_trim.faa	484	20	0.143551298360681	0
13_distribution_divergence/01_input_alignments/OG0006056_disco_tree1_aligned_trim.faa	979	30	0.144026623641089	0
13_distribution_divergence/01_input_alignments/OG0004547_disco_tree1_aligned_trim.faa	891	19	0.144510452826206	0
13_distribution_divergence/01_input_alignments/OG0001389_disco_tree1_aligned_trim.faa	199	33	0.144629943686777	0
13_distribution_divergence/01_input_alignments/OG0005098_disco_tree1_aligned_trim.faa	555	26	0.14538898978531	0
13_distribution_divergence/01_input_alignments/OG0004611_disco_tree1_aligned_trim.faa	136	19	0.145410799263927	0
13_distribution_divergence/01_input_alignments/OG0010368_disco_tree1_aligned_trim.faa	351	33	0.14544829766354	0
13_distribution_divergence/01_input_alignments/OG0005620_disco_tree1_aligned_trim.faa	434	28	0.146009524875495	0
13_distribution_divergence/01_input_alignments/OG0006844_disco_tree1_aligned_trim.faa	1181	32	0.146306259811338	0
13_distribution_divergence/01_input_alignments/OG0003707_disco_tree1_aligned_trim.faa	1006	23	0.146431678186371	0
13_distribution_divergence/01_input_alignments/OG0010215_disco_tree1_aligned_trim.faa	499	32	0.146512925395903	0
13_distribution_divergence/01_input_alignments/OG0009785_disco_tree1_aligned_trim.faa	201	26	0.148075346217007	0
13_distribution_divergence/01_input_alignments/OG0008951_disco_tree1_aligned_trim.faa	335	30	0.148146118104021	0
13_distribution_divergence/01_input_alignments/OG0004233_disco_tree1_aligned_trim.faa	186	18	0.148292110410807	0
13_distribution_divergence/01_input_alignments/OG0010237_disco_tree1_aligned_trim.faa	394	31	0.148740115173313	0
