Orthogroup	Amel_protein_noIso	Bbub_protein_noIso	Bmus_protein_noIso	Casi_protein_noIso	Cdid_protein_noIso	Cdro_protein_noIso	Cimi_protein_noIso	Clup_protein_noIso	Cpor_protein_noIso	Csim_protein_noIso	Dnov_protein_noIso	Drot_protein_noIso	Emax_protein_noIso	Equa_protein_noIso	Hamp_protein_noIso	Hsap_protein_noIso	Lcat_protein_noIso	Mang_protein_noIso	Mdom_protein_noIso	Mjav_protein_noIso	Mmus_protein_noIso	Oafe_protein_noIso	Oana_protein_noIso	Opri_protein_noIso	Pafr_protein_noIso	Pgig_protein_noIso	Ptig_protein_noIso	Rfer_protein_noIso	Scar_protein_noIso	Shar_protein_noIso	Tman_protein_noIso	Ttru_protein_noIso
OG0020683	Amel_XP.034502386.1																															
OG0020684	Amel_XP.034502630.1																															
OG0020685	Amel_XP.034502721.1																															
OG0020686	Amel_XP.034502892.1																															
OG0020687	Amel_XP.034503192.1																															
OG0020688	Amel_XP.034503194.1																															
OG0020689	Amel_XP.034503196.1																															
OG0020690	Amel_XP.034503202.1																															
OG0020691	Amel_XP.034503231.1																															
OG0020692	Amel_XP.034503284.1																															
OG0020693	Amel_XP.034503333.1																															
OG0020694	Amel_XP.034503657.1																															
OG0020695	Amel_XP.034504109.1																															
OG0020696	Amel_XP.034504171.1																															
OG0020697	Amel_XP.034504212.1																															
OG0020698	Amel_XP.034504322.1																															
OG0020699	Amel_XP.034504431.1																															
OG0020700	Amel_XP.034504471.1																															
OG0020701	Amel_XP.034504472.1																															
OG0020702	Amel_XP.034504562.1																															
OG0020703	Amel_XP.034504565.1																															
OG0020704	Amel_XP.034504567.1																															
OG0020705	Amel_XP.034504616.1																															
OG0020706	Amel_XP.034504904.1																															
OG0020707	Amel_XP.034504928.1																															
OG0020708	Amel_XP.034504933.1																															
OG0020709	Amel_XP.034504987.1																															
OG0020710	Amel_XP.034505123.1																															
OG0020711	Amel_XP.034505151.1																															
OG0020712	Amel_XP.034505208.1																															
OG0020713	Amel_XP.034505277.1																															
OG0020714	Amel_XP.034505371.1																															
OG0020715	Amel_XP.034505400.1																															
OG0020716	Amel_XP.034505608.1																															
OG0020717	Amel_XP.034505811.1																															
OG0020718	Amel_XP.034505814.1																															
OG0020719	Amel_XP.034505952.1																															
OG0020720	Amel_XP.034505957.1																															
OG0020721	Amel_XP.034505970.1																															
OG0020722	Amel_XP.034506013.1																															
OG0020723	Amel_XP.034506036.1																															
OG0020724	Amel_XP.034506134.1																															
OG0020725	Amel_XP.034506135.1																															
OG0020726	Amel_XP.034506154.1																															
OG0020727	Amel_XP.034506178.1																															
OG0020728	Amel_XP.034506217.1																															
OG0020729	Amel_XP.034506237.1																															
OG0020730	Amel_XP.034506296.1																															
OG0020731	Amel_XP.034506347.1																															
OG0020732	Amel_XP.034506375.1																															
OG0020733	Amel_XP.034506434.1																															
OG0020734	Amel_XP.034506470.1																															
OG0020735	Amel_XP.034506487.1																															
OG0020736	Amel_XP.034506505.1																															
OG0020737	Amel_XP.034506617.1																															
OG0020738	Amel_XP.034506641.1																															
OG0020739	Amel_XP.034506733.1																															
OG0020740	Amel_XP.034506800.1																															
OG0020741	Amel_XP.034506811.1																															
OG0020742	Amel_XP.034506835.1																															
OG0020743	Amel_XP.034506889.1																															
OG0020744	Amel_XP.034507038.1																															
OG0020745	Amel_XP.034507087.1																															
OG0020746	Amel_XP.034507103.1																															
OG0020747	Amel_XP.034507175.1																															
OG0020748	Amel_XP.034507259.1																															
OG0020749	Amel_XP.034507303.1																															
OG0020750	Amel_XP.034507345.1																															
OG0020751	Amel_XP.034507346.1																															
OG0020752	Amel_XP.034507356.1																															
OG0020753	Amel_XP.034507408.1																															
OG0020754	Amel_XP.034507429.1																															
OG0020755	Amel_XP.034507439.1																															
OG0020756	Amel_XP.034507450.1																															
OG0020757	Amel_XP.034507452.1																															
OG0020758	Amel_XP.034507454.1																															
OG0020759	Amel_XP.034507477.1																															
OG0020760	Amel_XP.034507548.1																															
OG0020761	Amel_XP.034507556.1																															
OG0020762	Amel_XP.034507585.1																															
OG0020763	Amel_XP.034507620.1																															
OG0020764	Amel_XP.034507676.1																															
OG0020765	Amel_XP.034507705.1																															
OG0020766	Amel_XP.034507706.1																															
OG0020767	Amel_XP.034507714.1																															
OG0020768	Amel_XP.034507765.1																															
OG0020769	Amel_XP.034507815.1																															
OG0020770	Amel_XP.034507824.1																															
OG0020771	Amel_XP.034507868.1																															
OG0020772	Amel_XP.034507902.1																															
OG0020773	Amel_XP.034507923.1																															
OG0020774	Amel_XP.034507934.1																															
OG0020775	Amel_XP.034507975.1																															
OG0020776	Amel_XP.034508007.1																															
OG0020777	Amel_XP.034508138.1																															
OG0020778	Amel_XP.034508150.1																															
OG0020779	Amel_XP.034508181.1																															
OG0020780	Amel_XP.034508223.1																															
OG0020781	Amel_XP.034508232.1																															
OG0020782	Amel_XP.034508251.1																															
OG0020783	Amel_XP.034508272.1																															
OG0020784	Amel_XP.034508275.1																															
OG0020785	Amel_XP.034508289.1																															
OG0020786	Amel_XP.034508302.1																															
OG0020787	Amel_XP.034508326.1																															
OG0020788	Amel_XP.034508360.1																															
OG0020789	Amel_XP.034508381.1																															
OG0020790	Amel_XP.034508395.1																															
OG0020791	Amel_XP.034508408.1																															
OG0020792	Amel_XP.034508427.1																															
OG0020793	Amel_XP.034508460.1																															
OG0020794	Amel_XP.034508511.1																															
OG0020795	Amel_XP.034508546.1																															
OG0020796	Amel_XP.034508560.1																															
OG0020797	Amel_XP.034508569.1																															
OG0020798	Amel_XP.034508577.1																															
OG0020799	Amel_XP.034508664.1																															
OG0020800	Amel_XP.034508705.1																															
OG0020801	Amel_XP.034508779.1																															
OG0020802	Amel_XP.034508789.1																															
OG0020803	Amel_XP.034508792.1																															
OG0020804	Amel_XP.034508811.1																															
OG0020805	Amel_XP.034508863.1																															
OG0020806	Amel_XP.034508887.1																															
OG0020807	Amel_XP.034508892.1																															
OG0020808	Amel_XP.034508894.1																															
OG0020809	Amel_XP.034508895.1																															
OG0020810	Amel_XP.034508899.1																															
OG0020811	Amel_XP.034508900.1																															
OG0020812	Amel_XP.034508901.1																															
OG0020813	Amel_XP.034508908.1																															
OG0020814	Amel_XP.034508909.1																															
OG0020815	Amel_XP.034508912.1																															
OG0020816	Amel_XP.034508925.1																															
OG0020817	Amel_XP.034508936.1																															
OG0020818	Amel_XP.034508963.1																															
OG0020819	Amel_XP.034508973.1																															
OG0020820	Amel_XP.034508979.1																															
OG0020821	Amel_XP.034508992.1																															
OG0020822	Amel_XP.034508993.1																															
OG0020823	Amel_XP.034508998.1																															
OG0020824	Amel_XP.034509007.1																															
OG0020825	Amel_XP.034509026.1																															
OG0020826	Amel_XP.034509036.1																															
OG0020827	Amel_XP.034509055.1																															
OG0020828	Amel_XP.034509069.1																															
OG0020829	Amel_XP.034509092.1																															
OG0020830	Amel_XP.034509106.1																															
OG0020831	Amel_XP.034509112.1																															
OG0020832	Amel_XP.034509115.1																															
OG0020833	Amel_XP.034509162.1																															
OG0020834	Amel_XP.034509238.1																															
OG0020835	Amel_XP.034509241.1																															
OG0020836	Amel_XP.034509255.1																															
OG0020837	Amel_XP.034509265.1																															
OG0020838	Amel_XP.034509305.1																															
OG0020839	Amel_XP.034509327.1																															
OG0020840	Amel_XP.034509333.1																															
OG0020841	Amel_XP.034509334.1																															
OG0020842	Amel_XP.034509336.1																															
OG0020843	Amel_XP.034509366.1																															
OG0020844	Amel_XP.034509371.1																															
OG0020845	Amel_XP.034509378.1																															
OG0020846	Amel_XP.034509401.1																															
OG0020847	Amel_XP.034509402.1																															
OG0020848	Amel_XP.034509424.1																															
OG0020849	Amel_XP.034509427.1																															
OG0020850	Amel_XP.034509431.1																															
OG0020851	Amel_XP.034509475.1																															
OG0020852	Amel_XP.034509505.1																															
OG0020853	Amel_XP.034509704.1																															
OG0020854	Amel_XP.034510006.1																															
OG0020855	Amel_XP.034510103.1																															
OG0020856	Amel_XP.034510138.1																															
OG0020857	Amel_XP.034510210.1																															
OG0020858	Amel_XP.034510312.1																															
OG0020859	Amel_XP.034510313.1																															
OG0020860	Amel_XP.034510772.1																															
OG0020861	Amel_XP.034510847.1																															
OG0020862	Amel_XP.034510859.1																															
OG0020863	Amel_XP.034510927.1																															
OG0020864	Amel_XP.034511279.1																															
OG0020865	Amel_XP.034511330.1																															
OG0020866	Amel_XP.034511338.1																															
OG0020867	Amel_XP.034511388.1																															
OG0020868	Amel_XP.034511430.1																															
OG0020869	Amel_XP.034511456.1																															
OG0020870	Amel_XP.034511505.1																															
OG0020871	Amel_XP.034511521.1																															
OG0020872	Amel_XP.034511536.1																															
OG0020873	Amel_XP.034511594.1																															
OG0020874	Amel_XP.034511608.1																															
OG0020875	Amel_XP.034511618.1																															
OG0020876	Amel_XP.034511710.1																															
OG0020877	Amel_XP.034511725.1																															
OG0020878	Amel_XP.034511939.1																															
OG0020879	Amel_XP.034512096.1																															
OG0020880	Amel_XP.034512234.1																															
OG0020881	Amel_XP.034512238.1																															
OG0020882	Amel_XP.034512240.1																															
OG0020883	Amel_XP.034512325.1																															
OG0020884	Amel_XP.034512504.1																															
OG0020885	Amel_XP.034512630.1																															
OG0020886	Amel_XP.034512664.1																															
OG0020887	Amel_XP.034512727.1																															
OG0020888	Amel_XP.034512919.1																															
OG0020889	Amel_XP.034512926.1																															
OG0020890	Amel_XP.034512988.1																															
OG0020891	Amel_XP.034513093.1																															
OG0020892	Amel_XP.034513095.1																															
OG0020893	Amel_XP.034513100.1																															
OG0020894	Amel_XP.034513110.1																															
OG0020895	Amel_XP.034513163.1																															
OG0020896	Amel_XP.034513166.1																															
OG0020897	Amel_XP.034513177.1																															
OG0020898	Amel_XP.034513182.1																															
OG0020899	Amel_XP.034513386.1																															
OG0020900	Amel_XP.034513420.1																															
OG0020901	Amel_XP.034513527.1																															
OG0020902	Amel_XP.034513644.1																															
OG0020903	Amel_XP.034513719.1																															
OG0020904	Amel_XP.034514450.1																															
OG0020905	Amel_XP.034514530.1																															
OG0020906	Amel_XP.034514759.1																															
OG0020907	Amel_XP.034514821.1																															
OG0020908	Amel_XP.034514960.1																															
OG0020909	Amel_XP.034514979.1																															
OG0020910	Amel_XP.034515064.1																															
OG0020911	Amel_XP.034515451.1																															
OG0020912	Amel_XP.034515457.1																															
OG0020913	Amel_XP.034515603.1																															
OG0020914	Amel_XP.034515845.1																															
OG0020915	Amel_XP.034515847.1																															
OG0020916	Amel_XP.034516062.1																															
OG0020917	Amel_XP.034516073.1																															
OG0020918	Amel_XP.034516075.1																															
OG0020919	Amel_XP.034516076.1																															
OG0020920	Amel_XP.034516078.1																															
OG0020921	Amel_XP.034516092.1																															
OG0020922	Amel_XP.034516094.1																															
OG0020923	Amel_XP.034516100.1																															
OG0020924	Amel_XP.034516107.1																															
OG0020925	Amel_XP.034516114.1																															
OG0020926	Amel_XP.034516149.1																															
OG0020927	Amel_XP.034516184.1																															
OG0020928	Amel_XP.034516193.1																															
OG0020929	Amel_XP.034516238.1																															
OG0020930	Amel_XP.034516642.1																															
OG0020931	Amel_XP.034516644.1																															
OG0020932	Amel_XP.034517379.1																															
OG0020933	Amel_XP.034517558.1																															
OG0020934	Amel_XP.034517574.1																															
OG0020935	Amel_XP.034517588.1																															
OG0020936	Amel_XP.034517589.1																															
OG0020937	Amel_XP.034517594.1																															
OG0020938	Amel_XP.034517596.1																															
OG0020939	Amel_XP.034517598.1																															
OG0020940	Amel_XP.034517606.1																															
OG0020941	Amel_XP.034517616.1																															
OG0020942	Amel_XP.034517619.1																															
OG0020943	Amel_XP.034517716.1																															
OG0020944	Amel_XP.034517815.1																															
OG0020945	Amel_XP.034517865.1																															
OG0020946	Amel_XP.034517924.1																															
OG0020947	Amel_XP.034518149.1																															
OG0020948	Amel_XP.034518163.1																															
OG0020949	Amel_XP.034518277.1																															
OG0020950	Amel_XP.034518393.1																															
OG0020951	Amel_XP.034518838.1																															
OG0020952	Amel_XP.034518846.1																															
OG0020953	Amel_XP.034519333.1																															
OG0020954	Amel_XP.034519359.1																															
OG0020955	Amel_XP.034519450.1																															
OG0020956	Amel_XP.034519458.1																															
OG0020957	Amel_XP.034519459.1																															
OG0020958	Amel_XP.034519468.1																															
OG0020959	Amel_XP.034519469.1																															
OG0020960	Amel_XP.034519494.1																															
OG0020961	Amel_XP.034519498.1																															
OG0020962	Amel_XP.034519509.1																															
OG0020963	Amel_XP.034519551.1																															
OG0020964	Amel_XP.034519611.1																															
OG0020965	Amel_XP.034519626.1																															
OG0020966	Amel_XP.034519630.1																															
OG0020967	Amel_XP.034519633.1																															
OG0020968	Amel_XP.034519645.1																															
OG0020969	Amel_XP.034519652.1																															
OG0020970	Amel_XP.034519662.1																															
OG0020971	Amel_XP.034519670.1																															
OG0020972	Amel_XP.034519688.1																															
OG0020973	Amel_XP.034519692.1																															
OG0020974	Amel_XP.034519699.1																															
OG0020975	Amel_XP.034519708.1																															
OG0020976	Amel_XP.034519720.1																															
OG0020977	Amel_XP.034519906.1																															
OG0020978	Amel_XP.034520255.1																															
OG0020979	Amel_XP.034520376.1																															
OG0020980	Amel_XP.034520564.1																															
OG0020981	Amel_XP.034520641.1																															
OG0020982	Amel_XP.034520685.1																															
OG0020983	Amel_XP.034520688.1																															
OG0020984	Amel_XP.034520722.1																															
OG0020985	Amel_XP.034520736.1																															
OG0020986	Amel_XP.034520837.1																															
OG0020987	Amel_XP.034520954.1																															
OG0020988	Amel_XP.034521118.1																															
OG0020989	Amel_XP.034521320.1																															
OG0020990	Amel_XP.034521334.1																															
OG0020991	Amel_XP.034521430.1																															
OG0020992	Amel_XP.034521462.1																															
OG0020993	Amel_XP.034521465.1																															
OG0020994	Amel_XP.034521472.1																															
OG0020995	Amel_XP.034521490.1																															
OG0020996	Amel_XP.034521525.1																															
OG0020997	Amel_XP.034521534.1																															
OG0020998	Amel_XP.034521649.1																															
OG0020999	Amel_XP.034521906.1																															
OG0021000	Amel_XP.034522015.1																															
OG0021001	Amel_XP.034522037.1																															
OG0021002	Amel_XP.034522445.1																															
OG0021003	Amel_XP.034522492.1																															
OG0021004	Amel_XP.034522494.1																															
OG0021005	Amel_XP.034522623.1																															
OG0021006	Amel_XP.034522788.1																															
OG0021007	Amel_XP.034523177.1																															
OG0021008	Amel_XP.034523279.1																															
OG0021009	Amel_XP.034523403.1																															
OG0021010	Amel_XP.034523420.1																															
OG0021011	Amel_XP.034523484.1																															
OG0021012	Amel_XP.034523520.1																															
OG0021013	Amel_XP.034523523.1																															
OG0021014	Amel_XP.034523539.1																															
OG0021015	Amel_XP.034523543.1																															
OG0021016	Amel_XP.034523546.1																															
OG0021017	Amel_XP.034523557.1																															
OG0021018	Amel_XP.034523562.1																															
OG0021019	Amel_XP.034523564.1																															
OG0021020	Amel_XP.034523669.1																															
OG0021021	Amel_XP.034523674.1																															
OG0021022	Amel_XP.034523697.1																															
OG0021023	Amel_XP.034523768.1																															
OG0021024	Amel_XP.034523807.1																															
OG0021025	Amel_XP.034523905.1																															
OG0021026	Amel_XP.034524118.1																															
OG0021027	Amel_XP.034524297.1																															
OG0021028	Amel_XP.034524299.1																															
OG0021029	Amel_XP.034524502.1																															
OG0021030	Amel_XP.034524504.1																															
OG0021031	Amel_XP.034524764.1																															
OG0021032	Amel_XP.034524774.1																															
OG0021033	Amel_XP.034524775.1																															
OG0021034	Amel_XP.034524777.1																															
OG0021035	Amel_XP.034524784.1																															
OG0021036	Amel_XP.034524785.1																															
OG0021037	Amel_XP.034524811.1																															
OG0021038	Amel_XP.034524840.1																															
OG0021039	Amel_XP.034524975.1																															
OG0021040	Amel_XP.034524976.1																															
OG0021041	Amel_XP.034525227.1																															
OG0021042	Amel_XP.034525368.1																															
OG0021043	Amel_XP.034525402.1																															
OG0021044	Amel_XP.034525409.1																															
OG0021045	Amel_XP.034525412.1																															
OG0021046	Amel_XP.034525414.1																															
OG0021047	Amel_XP.034525415.1																															
OG0021048	Amel_XP.034525419.1																															
OG0021049	Amel_XP.034525435.1																															
OG0021050	Amel_XP.034525471.1																															
OG0021051	Amel_XP.034525480.1																															
OG0021052	Amel_XP.034525508.1																															
OG0021053	Amel_XP.034525510.1																															
OG0021054	Amel_XP.034525512.1																															
OG0021055	Amel_XP.034525573.1																															
OG0021056	Amel_XP.034525659.1																															
OG0021057	Amel_XP.034525743.1																															
OG0021058	Amel_XP.034526125.1																															
OG0021059	Amel_XP.034526209.1																															
OG0021060	Amel_XP.034526389.1																															
OG0021061	Amel_XP.034526415.1																															
OG0021062	Amel_XP.034526417.1																															
OG0021063	Amel_XP.034526447.1																															
OG0021064	Amel_XP.034526667.1																															
OG0021065	Amel_XP.034526681.1																															
OG0021066	Amel_XP.034526686.1																															
OG0021067	Amel_XP.034526692.1																															
OG0021068	Amel_XP.034526756.1																															
OG0021069	Amel_XP.034526825.1																															
OG0021070	Amel_XP.034526833.1																															
OG0021071	Amel_XP.034526834.1																															
OG0021072	Amel_XP.034526848.1																															
OG0021073	Amel_XP.034526858.1																															
OG0021074	Amel_XP.034526859.1																															
OG0021075	Amel_XP.034526877.1																															
OG0021076	Amel_XP.034526979.1																															
OG0021077	Amel_XP.034527195.1																															
OG0021078	Amel_XP.034527271.1																															
OG0021079	Amel_XP.034527277.1																															
OG0021080	Amel_XP.034527321.1																															
OG0021081	Amel_XP.034527329.1																															
OG0021082	Amel_XP.034527430.1																															
OG0021083	Amel_XP.034527604.1																															
OG0021084	Amel_XP.034527735.1																															
OG0021085	Amel_XP.034527905.1																															
OG0021086	Amel_XP.034527907.1																															
OG0021087	Amel_XP.034527951.1																															
OG0021088	Amel_XP.034528138.1																															
OG0021089	Amel_XP.034528167.1																															
OG0021090	Amel_XP.034528179.1																															
OG0021091	Amel_XP.034528470.1																															
OG0021092	Amel_XP.034528631.1																															
OG0021093		Bbub_XP.006045702.2																														
OG0021094		Bbub_XP.006048993.1																														
OG0021095		Bbub_XP.006049257.2																														
OG0021096		Bbub_XP.006051884.3																														
OG0021097		Bbub_XP.006053272.1																														
OG0021098		Bbub_XP.006053569.4																														
OG0021099		Bbub_XP.006054243.1																														
OG0021100		Bbub_XP.006054706.2																														
OG0021101		Bbub_XP.006054995.3																														
OG0021102		Bbub_XP.006055010.2																														
OG0021103		Bbub_XP.006055997.1																														
OG0021104		Bbub_XP.006057010.1																														
OG0021105		Bbub_XP.006057647.1																														
OG0021106		Bbub_XP.006059757.4																														
OG0021107		Bbub_XP.006061136.1																														
OG0021108		Bbub_XP.006061427.4																														
OG0021109		Bbub_XP.006062198.2																														
OG0021110		Bbub_XP.006062480.1																														
OG0021111		Bbub_XP.006064339.2																														
OG0021112		Bbub_XP.006067063.2																														
OG0021113		Bbub_XP.006072143.1																														
OG0021114		Bbub_XP.006072235.4																														
OG0021115		Bbub_XP.006072871.3																														
OG0021116		Bbub_XP.006073149.4																														
OG0021117		Bbub_XP.006074042.1																														
OG0021118		Bbub_XP.006074052.3																														
OG0021119		Bbub_XP.006075981.3																														
OG0021120		Bbub_XP.006076308.2																														
OG0021121		Bbub_XP.006076494.4																														
OG0021122		Bbub_XP.006076737.1																														
OG0021123		Bbub_XP.006077295.1																														
OG0021124		Bbub_XP.006078111.2																														
OG0021125		Bbub_XP.006079604.4																														
OG0021126		Bbub_XP.006081004.4																														
OG0021127		Bbub_XP.025116909.1																														
OG0021128		Bbub_XP.025117282.2																														
OG0021129		Bbub_XP.025118048.2																														
OG0021130		Bbub_XP.025118068.1																														
OG0021131		Bbub_XP.025118263.2																														
OG0021132		Bbub_XP.025118269.3																														
OG0021133		Bbub_XP.025118470.2																														
OG0021134		Bbub_XP.025118678.1																														
OG0021135		Bbub_XP.025118959.2																														
OG0021136		Bbub_XP.025119712.1																														
OG0021137		Bbub_XP.025119917.2																														
OG0021138		Bbub_XP.025120548.2																														
OG0021139		Bbub_XP.025120707.3																														
OG0021140		Bbub_XP.025121526.2																														
