Orthogroup	Dalb_protein_noIso	Dana_protein_noIso	Dari_protein_noIso	Dbip_protein_noIso	Dbus_protein_noIso	Dele_protein_noIso	Dere_protein_noIso	Dgri_protein_noIso	Dhyd_protein_noIso	Dkik_protein_noIso	Dmel_protein_noIso	Dmir_protein_noIso	Dpse_protein_noIso	Dsec_protein_noIso	Dser_protein_noIso	Dsuz_protein_noIso	Dwil_protein_noIso
OG0015593		Dana_XP.014760634.1															
OG0015594		Dana_XP.014760995.1															
OG0015595		Dana_XP.014761222.1															
OG0015596		Dana_XP.014762269.1															
OG0015597		Dana_XP.014762321.1															
OG0015598		Dana_XP.014762408.1															
OG0015599		Dana_XP.014762447.1															
OG0015600		Dana_XP.014763944.1															
OG0015601		Dana_XP.014763993.1															
OG0015602		Dana_XP.014764087.1															
OG0015603		Dana_XP.014765514.1															
OG0015604		Dana_XP.014765590.1															
OG0015605		Dana_XP.014765591.1															
OG0015606		Dana_XP.014765643.1															
OG0015607		Dana_XP.014765692.1															
OG0015608		Dana_XP.014765701.1															
OG0015609		Dana_XP.014765733.1															
OG0015610		Dana_XP.014767230.1															
OG0015611		Dana_XP.014767310.1															
OG0015612		Dana_XP.014767356.2															
OG0015613		Dana_XP.032305621.1															
OG0015614		Dana_XP.032305853.1															
OG0015615		Dana_XP.032306007.1															
OG0015616		Dana_XP.032306064.1															
OG0015617		Dana_XP.032306322.1															
OG0015618		Dana_XP.032307454.1															
OG0015619		Dana_XP.032307671.1															
OG0015620		Dana_XP.032307681.1															
OG0015621		Dana_XP.032307688.1															
OG0015622		Dana_XP.032308212.1															
OG0015623		Dana_XP.032308238.1															
OG0015624		Dana_XP.032308253.1															
OG0015625		Dana_XP.032308309.1															
OG0015626		Dana_XP.032308325.1															
OG0015627		Dana_XP.032308553.1															
OG0015628		Dana_XP.032308688.1															
OG0015629		Dana_XP.032308774.1															
OG0015630		Dana_XP.032308970.1															
OG0015631		Dana_XP.032309082.1															
OG0015632		Dana_XP.032309301.1															
OG0015633		Dana_XP.032309480.1															
OG0015634		Dana_XP.032310026.1															
OG0015635		Dana_XP.032310028.1															
OG0015636		Dana_XP.032310234.1															
OG0015637		Dana_XP.032310278.1															
OG0015638		Dana_XP.032310301.1															
OG0015639		Dana_XP.032310367.1															
OG0015640		Dana_XP.032310778.2															
OG0015641		Dana_XP.032310789.1															
OG0015642		Dana_XP.032310831.1															
OG0015643		Dana_XP.032311179.2															
OG0015644		Dana_XP.032311617.2															
OG0015645		Dana_XP.032311724.1															
OG0015646		Dana_XP.032311762.1															
OG0015647		Dana_XP.032311863.2															
OG0015648		Dana_XP.032311864.2															
OG0015649		Dana_XP.032311958.1															
OG0015650		Dana_XP.044570101.1															
OG0015651		Dana_XP.044570127.1															
OG0015652		Dana_XP.044570168.1															
OG0015653		Dana_XP.044570230.1															
OG0015654		Dana_XP.044570287.1															
OG0015655		Dana_XP.044570421.1															
OG0015656		Dana_XP.044570557.1															
OG0015657		Dana_XP.044570919.1															
OG0015658		Dana_XP.044571009.1															
OG0015659		Dana_XP.044571100.1															
OG0015660		Dana_XP.044571104.1															
OG0015661		Dana_XP.044571141.1															
OG0015662		Dana_XP.044571306.1															
OG0015663		Dana_XP.044571382.1															
OG0015664		Dana_XP.044571598.1															
OG0015665		Dana_XP.044571622.1															
OG0015666		Dana_XP.044571811.1															
OG0015667		Dana_XP.044572232.1															
OG0015668		Dana_XP.044572313.1															
OG0015669		Dana_XP.044572317.1															
OG0015670		Dana_XP.044572433.1															
OG0015671		Dana_XP.044572456.1															
OG0015672		Dana_XP.044572559.1															
OG0015673		Dana_XP.044572663.1															
OG0015674		Dana_XP.044572702.1															
OG0015675		Dana_XP.044572711.1															
OG0015676		Dana_XP.044572875.1															
OG0015677		Dana_XP.044572876.1															
OG0015678		Dana_XP.044572916.1															
OG0015679		Dana_XP.044573123.1															
OG0015680		Dana_XP.044573125.1															
OG0015681		Dana_XP.044573148.1															
OG0015682		Dana_XP.044573209.1															
OG0015683		Dana_XP.044573322.1															
OG0015684		Dana_XP.044573380.1															
OG0015685		Dana_XP.044573444.1															
OG0015686		Dana_XP.044573445.1															
OG0015687		Dana_XP.044573446.1															
OG0015688		Dana_XP.044573587.1															
OG0015689		Dana_XP.044573707.1															
OG0015690		Dana_XP.044573710.1															
OG0015691		Dana_XP.044573736.1															
OG0015692		Dana_XP.044573748.1															
OG0015693		Dana_XP.044573783.1															
OG0015694		Dana_XP.044573801.1															
OG0015695		Dana_XP.044573807.1															
OG0015696		Dana_XP.044573815.1															
OG0015697		Dana_XP.044573860.1															
OG0015698		Dana_XP.044573874.1															
OG0015699		Dana_XP.044573877.1															
OG0015700		Dana_XP.044573878.1															
OG0015701		Dana_XP.044573895.1															
OG0015702		Dana_XP.044573907.1															
OG0015703		Dana_XP.044573953.1															
OG0015704		Dana_XP.044573984.1															
OG0015705		Dana_XP.044574137.1															
OG0015706		Dana_XP.044574198.1															
OG0015707			Dari_XP.017856161.1														
OG0015708			Dari_XP.017856313.1														
OG0015709			Dari_XP.017856337.1														
OG0015710			Dari_XP.017856648.1														
OG0015711			Dari_XP.017856685.1														
OG0015712			Dari_XP.017856761.1														
OG0015713			Dari_XP.017856841.1														
OG0015714			Dari_XP.017856900.1														
OG0015715			Dari_XP.017857040.1														
OG0015716			Dari_XP.017857323.1														
OG0015717			Dari_XP.017857588.1														
OG0015718			Dari_XP.017857620.1														
OG0015719			Dari_XP.017857622.1														
OG0015720			Dari_XP.017857738.1														
OG0015721			Dari_XP.017858138.1														
OG0015722			Dari_XP.017858345.1														
OG0015723			Dari_XP.017858903.1														
OG0015724			Dari_XP.017859088.1														
OG0015725			Dari_XP.017859576.1														
OG0015726			Dari_XP.017859735.1														
OG0015727			Dari_XP.017860054.1														
OG0015728			Dari_XP.017860447.1														
OG0015729			Dari_XP.017860477.1														
OG0015730			Dari_XP.017860587.1														
OG0015731			Dari_XP.017860591.1														
OG0015732			Dari_XP.017860635.1														
OG0015733			Dari_XP.017860637.1														
OG0015734			Dari_XP.017860766.1														
OG0015735			Dari_XP.017860810.1														
OG0015736			Dari_XP.017860816.1														
OG0015737			Dari_XP.017860819.1														
OG0015738			Dari_XP.017860825.1														
OG0015739			Dari_XP.017860830.1														
OG0015740			Dari_XP.017860835.1														
OG0015741			Dari_XP.017860897.1														
OG0015742			Dari_XP.017861344.1														
OG0015743			Dari_XP.017861417.1														
OG0015744			Dari_XP.017861690.1														
OG0015745			Dari_XP.017862057.1														
OG0015746			Dari_XP.017862308.1														
OG0015747			Dari_XP.017862448.1														
OG0015748			Dari_XP.017862450.1														
OG0015749			Dari_XP.017862463.1														
OG0015750			Dari_XP.017863637.1														
OG0015751			Dari_XP.017863688.1														
OG0015752			Dari_XP.017863744.1														
OG0015753			Dari_XP.017864075.1														
OG0015754			Dari_XP.017864108.1														
OG0015755			Dari_XP.017864134.1														
OG0015756			Dari_XP.017864515.1														
OG0015757			Dari_XP.017864561.1														
OG0015758			Dari_XP.017864581.1														
OG0015759			Dari_XP.017864583.1														
OG0015760			Dari_XP.017864594.1														
OG0015761			Dari_XP.017864645.1														
OG0015762			Dari_XP.017864680.1														
OG0015763			Dari_XP.017864691.1														
OG0015764			Dari_XP.017864698.1														
OG0015765			Dari_XP.017864711.1														
OG0015766			Dari_XP.017864714.1														
OG0015767			Dari_XP.017865034.1														
OG0015768			Dari_XP.017865058.1														
OG0015769			Dari_XP.017865275.1														
OG0015770			Dari_XP.017865464.1														
OG0015771			Dari_XP.017865599.1														
OG0015772			Dari_XP.017866780.1														
OG0015773			Dari_XP.017866827.1														
OG0015774			Dari_XP.017867154.1														
OG0015775			Dari_XP.017867244.1														
OG0015776			Dari_XP.017867712.1														
OG0015777			Dari_XP.017867876.1														
OG0015778			Dari_XP.017868063.1														
OG0015779			Dari_XP.017868096.1														
OG0015780			Dari_XP.017868105.1														
OG0015781			Dari_XP.017868130.1														
OG0015782			Dari_XP.017868502.1														
OG0015783			Dari_XP.017868750.1														
OG0015784			Dari_XP.017868754.1														
OG0015785			Dari_XP.017868961.1														
OG0015786			Dari_XP.017869022.1														
OG0015787			Dari_XP.017869040.1														
OG0015788			Dari_XP.017869051.1														
OG0015789			Dari_XP.017869058.1														
OG0015790			Dari_XP.017869168.1														
OG0015791			Dari_XP.017869184.1														
OG0015792			Dari_XP.017869275.1														
OG0015793			Dari_XP.017869276.1														
OG0015794			Dari_XP.017869410.1														
OG0015795			Dari_XP.017869455.1														
OG0015796			Dari_XP.017869513.1														
OG0015797			Dari_XP.017869516.1														
OG0015798			Dari_XP.017869517.1														
OG0015799			Dari_XP.017869539.1														
OG0015800			Dari_XP.017869543.1														
OG0015801			Dari_XP.017869547.1														
OG0015802			Dari_XP.017869554.1														
OG0015803			Dari_XP.017869651.1														
OG0015804			Dari_XP.017869666.1														
OG0015805			Dari_XP.017869786.1														
OG0015806			Dari_XP.017869876.1														
OG0015807			Dari_XP.017870025.1														
OG0015808			Dari_XP.017870086.1														
OG0015809			Dari_XP.017870186.1														
OG0015810			Dari_XP.017870241.1														
OG0015811			Dari_XP.017870286.1														
OG0015812			Dari_XP.017870361.1														
OG0015813			Dari_XP.017870372.1														
OG0015814			Dari_XP.017870496.1														
OG0015815			Dari_XP.017870692.1														
OG0015816			Dari_XP.017870780.1														
OG0015817			Dari_XP.017870841.1														
OG0015818			Dari_XP.017870844.1														
OG0015819			Dari_XP.017870907.1														
OG0015820			Dari_XP.017871293.1														
OG0015821			Dari_XP.017871294.1														
OG0015822			Dari_XP.017871300.1														
OG0015823			Dari_XP.017871450.1														
OG0015824			Dari_XP.017871594.1														
OG0015825			Dari_XP.017871598.1														
OG0015826			Dari_XP.017871982.1														
OG0015827			Dari_XP.017872063.1														
OG0015828			Dari_XP.017872093.1														
OG0015829			Dari_XP.017872139.1														
OG0015830			Dari_XP.017872192.1														
OG0015831			Dari_XP.017872224.1														
OG0015832			Dari_XP.017872252.1														
OG0015833			Dari_XP.017872339.1														
OG0015834			Dari_XP.017872385.1														
OG0015835			Dari_XP.017872415.1														
OG0015836			Dari_XP.017872514.1														
OG0015837			Dari_XP.017872518.1														
OG0015838			Dari_XP.017872576.1														
OG0015839			Dari_XP.017872605.1														
OG0015840			Dari_XP.017872677.1														
OG0015841			Dari_XP.017872685.1														
OG0015842			Dari_XP.017872696.1														
OG0015843			Dari_XP.017872708.1														
OG0015844			Dari_XP.017872713.1														
OG0015845			Dari_XP.017872741.1														
OG0015846			Dari_XP.017872745.1														
OG0015847			Dari_XP.017872787.1														
OG0015848			Dari_XP.017872791.1														
OG0015849			Dari_XP.017872798.1														
OG0015850			Dari_XP.017872801.1														
OG0015851			Dari_XP.017872807.1														
OG0015852			Dari_XP.017872808.1														
OG0015853			Dari_XP.017872819.1														
OG0015854			Dari_XP.017872824.1														
OG0015855			Dari_XP.017872826.1														
OG0015856			Dari_XP.017872840.1														
OG0015857			Dari_XP.017872841.1														
OG0015858			Dari_XP.017872844.1														
OG0015859			Dari_XP.017872850.1														
OG0015860			Dari_XP.017872851.1														
OG0015861			Dari_XP.017872862.1														
OG0015862			Dari_XP.017872864.1														
OG0015863			Dari_XP.017872868.1														
OG0015864			Dari_XP.017872878.1														
OG0015865			Dari_XP.017872899.1														
OG0015866			Dari_XP.017872900.1														
OG0015867			Dari_XP.017872902.1														
OG0015868			Dari_XP.017872938.1														
OG0015869			Dari_XP.017872941.1														
OG0015870			Dari_XP.017872947.1														
OG0015871			Dari_XP.017872953.1														
OG0015872			Dari_XP.017872962.1														
OG0015873			Dari_XP.017872971.1														
OG0015874			Dari_XP.017872972.1														
OG0015875			Dari_XP.017872975.1														
OG0015876			Dari_XP.017872981.1														
OG0015877			Dari_XP.017873000.1														
OG0015878			Dari_XP.017873014.1														
OG0015879			Dari_XP.017873018.1														
OG0015880			Dari_XP.017873028.1														
OG0015881			Dari_XP.017873034.1														
OG0015882			Dari_XP.017873050.1														
OG0015883			Dari_XP.017873085.1														
OG0015884			Dari_XP.017873220.1														
OG0015885			Dari_XP.017873856.1														
OG0015886			Dari_XP.017873886.1														
OG0015887			Dari_XP.017874086.1														
OG0015888			Dari_XP.017874092.1														
OG0015889			Dari_XP.017874777.1														
OG0015890				Dbip_XP.017086799.2													
OG0015891				Dbip_XP.017086940.1													
OG0015892				Dbip_XP.017087924.2													
OG0015893				Dbip_XP.017088067.2													
OG0015894				Dbip_XP.017088470.2													
OG0015895				Dbip_XP.017088874.2													
OG0015896				Dbip_XP.017089122.2													
OG0015897				Dbip_XP.017089806.2													
OG0015898				Dbip_XP.017089929.2													
OG0015899				Dbip_XP.017090880.2													
OG0015900				Dbip_XP.017093713.2													
OG0015901				Dbip_XP.017093878.2													
OG0015902				Dbip_XP.017094548.2													
OG0015903				Dbip_XP.017096168.2													
OG0015904				Dbip_XP.017096930.2													
OG0015905				Dbip_XP.017096980.2													
OG0015906				Dbip_XP.017096983.2													
OG0015907				Dbip_XP.017097180.2													
OG0015908				Dbip_XP.017099595.2													
OG0015909				Dbip_XP.017100255.2													
OG0015910				Dbip_XP.017101013.2													
OG0015911				Dbip_XP.017102388.2													
OG0015912				Dbip_XP.017102492.1													
OG0015913				Dbip_XP.017102918.2													
OG0015914				Dbip_XP.017104342.2													
OG0015915				Dbip_XP.017104506.2													
OG0015916				Dbip_XP.017104839.2													
OG0015917				Dbip_XP.017106107.2													
OG0015918				Dbip_XP.017107277.2													
OG0015919				Dbip_XP.017107392.2													
OG0015920				Dbip_XP.017107396.2													
OG0015921				Dbip_XP.017107402.2													
OG0015922				Dbip_XP.017107561.2													
OG0015923				Dbip_XP.017108994.1													
OG0015924				Dbip_XP.017110095.2													
OG0015925				Dbip_XP.043065607.1													
OG0015926				Dbip_XP.043065682.1													
OG0015927				Dbip_XP.043065693.1													
OG0015928				Dbip_XP.043065695.1													
OG0015929				Dbip_XP.043065706.1													
OG0015930				Dbip_XP.043065770.1													
OG0015931				Dbip_XP.043065914.1													
OG0015932				Dbip_XP.043065932.1													
OG0015933				Dbip_XP.043065977.1													
OG0015934				Dbip_XP.043065990.1													
OG0015935				Dbip_XP.043065992.1													
OG0015936				Dbip_XP.043065995.1													
OG0015937				Dbip_XP.043065996.1													
OG0015938				Dbip_XP.043066090.1													
OG0015939				Dbip_XP.043066206.1													
OG0015940				Dbip_XP.043066324.1													
OG0015941				Dbip_XP.043066335.1													
OG0015942				Dbip_XP.043066496.1													
OG0015943				Dbip_XP.043066520.1													
OG0015944				Dbip_XP.043066523.1													
OG0015945				Dbip_XP.043066561.1													
OG0015946				Dbip_XP.043066662.1													
OG0015947				Dbip_XP.043066673.1													
OG0015948				Dbip_XP.043066690.1													
OG0015949				Dbip_XP.043067072.1													
OG0015950				Dbip_XP.043067138.1													
OG0015951				Dbip_XP.043067402.1													
OG0015952				Dbip_XP.043067533.1													
OG0015953				Dbip_XP.043067534.1													
OG0015954				Dbip_XP.043067541.1													
OG0015955				Dbip_XP.043067572.1													
OG0015956				Dbip_XP.043067577.1													
OG0015957				Dbip_XP.043067588.1													
OG0015958				Dbip_XP.043067610.1													
OG0015959				Dbip_XP.043067627.1													
OG0015960				Dbip_XP.043067649.1													
OG0015961				Dbip_XP.043067656.1													
OG0015962				Dbip_XP.043067886.1													
OG0015963				Dbip_XP.043067887.1													
OG0015964				Dbip_XP.043067936.1													
OG0015965				Dbip_XP.043068225.1													
OG0015966				Dbip_XP.043068272.1													
OG0015967				Dbip_XP.043068290.1													
OG0015968				Dbip_XP.043068393.1													
OG0015969				Dbip_XP.043068480.1													
OG0015970				Dbip_XP.043068496.1													
OG0015971				Dbip_XP.043068507.1													
OG0015972				Dbip_XP.043068521.1													
OG0015973				Dbip_XP.043068539.1													
OG0015974				Dbip_XP.043068552.1													
OG0015975				Dbip_XP.043068558.1													
OG0015976				Dbip_XP.043068701.1													
OG0015977				Dbip_XP.043068711.1													
OG0015978				Dbip_XP.043068855.1													
OG0015979				Dbip_XP.043068866.1													
OG0015980				Dbip_XP.043068872.1													
OG0015981				Dbip_XP.043068889.1													
OG0015982				Dbip_XP.043068966.1													
OG0015983				Dbip_XP.043068985.1													
OG0015984				Dbip_XP.043068991.1													
OG0015985				Dbip_XP.043069031.1													
OG0015986				Dbip_XP.043069101.1													
OG0015987				Dbip_XP.043069124.1													
OG0015988				Dbip_XP.043069368.1													
OG0015989				Dbip_XP.043069656.1													
OG0015990				Dbip_XP.043069734.1													
OG0015991				Dbip_XP.043069753.1													
OG0015992				Dbip_XP.043069768.1													
OG0015993				Dbip_XP.043069802.1													
OG0015994				Dbip_XP.043069838.1													
OG0015995				Dbip_XP.043069858.1													
OG0015996				Dbip_XP.043069896.1													
OG0015997				Dbip_XP.043069918.1													
OG0015998				Dbip_XP.043070062.1													
OG0015999				Dbip_XP.043070075.1													
OG0016000				Dbip_XP.043070100.1													
OG0016001				Dbip_XP.043070114.1													
OG0016002				Dbip_XP.043070121.1													
OG0016003					Dbus_XP.017835160.2												
OG0016004					Dbus_XP.017835343.1												
OG0016005					Dbus_XP.017835369.1												
